instant,dteday,season,yr,mnth,holiday,weekday,workingday,casual,registered,cnt
1,1/1/2011,1,0,1,0,6,0,331,654,985
2,1/2/2011,1,0,1,0,0,0,131,670,801
3,1/3/2011,1,0,1,0,1,1,120,1229,1349
4,1/4/2011,1,0,1,0,2,1,108,1454,1562
5,1/5/2011,1,0,1,0,3,1,82,1518,1600
6,1/6/2011,1,0,1,0,4,1,88,1518,1606
7,1/7/2011,1,0,1,0,5,1,148,1362,1510
8,1/8/2011,1,0,1,0,6,0,68,891,959
9,1/9/2011,1,0,1,0,0,0,54,768,822
10,1/10/2011,1,0,1,0,1,1,41,1280,1321
11,1/11/2011,1,0,1,0,2,1,43,1220,1263
12,1/12/2011,1,0,1,0,3,1,25,1137,1162
13,1/13/2011,1,0,1,0,4,1,38,1368,1406
14,1/14/2011,1,0,1,0,5,1,54,1367,1421
15,1/15/2011,1,0,1,0,6,0,222,1026,1248
16,1/16/2011,1,0,1,0,0,0,251,953,1204
17,1/17/2011,1,0,1,1,1,0,117,883,1000
18,1/18/2011,1,0,1,0,2,1,9,674,683
19,1/19/2011,1,0,1,0,3,1,78,1572,1650
20,1/20/2011,1,0,1,0,4,1,83,1844,1927
21,1/21/2011,1,0,1,0,5,1,75,1468,1543
22,1/22/2011,1,0,1,0,6,0,93,888,981
23,1/23/2011,1,0,1,0,0,0,150,836,986
24,1/24/2011,1,0,1,0,1,1,86,1330,1416
25,1/25/2011,1,0,1,0,2,1,186,1799,1985
26,1/26/2011,1,0,1,0,3,1,34,472,506
27,1/27/2011,1,0,1,0,4,1,15,416,431
28,1/28/2011,1,0,1,0,5,1,38,1129,1167
29,1/29/2011,1,0,1,0,6,0,123,975,1098
30,1/30/2011,1,0,1,0,0,0,140,956,1096
31,1/31/2011,1,0,1,0,1,1,42,1459,1501
32,2/1/2011,1,0,2,0,2,1,47,1313,1360
33,2/2/2011,1,0,2,0,3,1,72,1454,1526
34,2/3/2011,1,0,2,0,4,1,61,1489,1550
35,2/4/2011,1,0,2,0,5,1,88,1620,1708
36,2/5/2011,1,0,2,0,6,0,100,905,1005
37,2/6/2011,1,0,2,0,0,0,354,1269,1623
38,2/7/2011,1,0,2,0,1,1,120,1592,1712
39,2/8/2011,1,0,2,0,2,1,64,1466,1530
40,2/9/2011,1,0,2,0,3,1,53,1552,1605
41,2/10/2011,1,0,2,0,4,1,47,1491,1538
42,2/11/2011,1,0,2,0,5,1,149,1597,1746
43,2/12/2011,1,0,2,0,6,0,288,1184,1472
44,2/13/2011,1,0,2,0,0,0,397,1192,1589
45,2/14/2011,1,0,2,0,1,1,208,1705,1913
46,2/15/2011,1,0,2,0,2,1,140,1675,1815
47,2/16/2011,1,0,2,0,3,1,218,1897,2115
48,2/17/2011,1,0,2,0,4,1,259,2216,2475
49,2/18/2011,1,0,2,0,5,1,579,2348,2927
50,2/19/2011,1,0,2,0,6,0,532,1103,1635
51,2/20/2011,1,0,2,0,0,0,639,1173,1812
52,2/21/2011,1,0,2,1,1,0,195,912,1107
53,2/22/2011,1,0,2,0,2,1,74,1376,1450
54,2/23/2011,1,0,2,0,3,1,139,1778,1917
55,2/24/2011,1,0,2,0,4,1,100,1707,1807
56,2/25/2011,1,0,2,0,5,1,120,1341,1461
57,2/26/2011,1,0,2,0,6,0,424,1545,1969
58,2/27/2011,1,0,2,0,0,0,694,1708,2402
59,2/28/2011,1,0,2,0,1,1,81,1365,1446
60,3/1/2011,1,0,3,0,2,1,137,1714,1851
61,3/2/2011,1,0,3,0,3,1,231,1903,2134
62,3/3/2011,1,0,3,0,4,1,123,1562,1685
63,3/4/2011,1,0,3,0,5,1,214,1730,1944
64,3/5/2011,1,0,3,0,6,0,640,1437,2077
65,3/6/2011,1,0,3,0,0,0,114,491,605
66,3/7/2011,1,0,3,0,1,1,244,1628,1872
67,3/8/2011,1,0,3,0,2,1,316,1817,2133
68,3/9/2011,1,0,3,0,3,1,191,1700,1891
69,3/10/2011,1,0,3,0,4,1,46,577,623
70,3/11/2011,1,0,3,0,5,1,247,1730,1977
71,3/12/2011,1,0,3,0,6,0,724,1408,2132
72,3/13/2011,1,0,3,0,0,0,982,1435,2417
73,3/14/2011,1,0,3,0,1,1,359,1687,2046
74,3/15/2011,1,0,3,0,2,1,289,1767,2056
75,3/16/2011,1,0,3,0,3,1,321,1871,2192
76,3/17/2011,1,0,3,0,4,1,424,2320,2744
77,3/18/2011,1,0,3,0,5,1,884,2355,3239
78,3/19/2011,1,0,3,0,6,0,1424,1693,3117
79,3/20/2011,1,0,3,0,0,0,1047,1424,2471
80,3/21/2011,2,0,3,0,1,1,401,1676,2077
81,3/22/2011,2,0,3,0,2,1,460,2243,2703
82,3/23/2011,2,0,3,0,3,1,203,1918,2121
83,3/24/2011,2,0,3,0,4,1,166,1699,1865
84,3/25/2011,2,0,3,0,5,1,300,1910,2210
85,3/26/2011,2,0,3,0,6,0,981,1515,2496
86,3/27/2011,2,0,3,0,0,0,472,1221,1693
